iter	Passed	Remaining
0	0	446
1	1	424
2	2	409
3	3	395
4	3	391
5	4	382
6	5	387
7	6	380
8	6	377
9	7	373
10	8	368
11	8	364
12	9	373
13	10	379
14	11	379
15	12	380
16	13	378
17	14	375
18	14	372
19	15	369
20	16	366
21	16	365
22	17	363
23	18	357
24	18	355
25	19	354
26	20	353
27	20	352
28	21	350
29	22	349
30	23	348
31	23	346
32	24	347
33	25	347
34	26	350
35	27	349
36	27	348
37	28	347
38	29	346
39	30	345
40	30	344
41	31	343
42	32	342
43	32	340
44	33	338
45	34	337
46	34	335
47	35	334
48	36	333
49	36	332
50	37	331
51	38	330
52	39	329
53	40	331
54	40	331
55	42	333
56	42	332
57	43	331
58	44	331
59	45	331
60	46	331
61	46	330
62	47	329
63	48	328
64	48	327
65	49	326
66	50	325
67	51	324
68	51	323
69	52	322
70	53	321
71	54	321
72	54	320
73	55	319
74	56	319
75	57	320
76	58	319
77	58	319
78	59	318
79	60	317
80	61	316
81	61	315
82	62	314
83	63	313
84	64	312
85	64	311
86	65	310
87	66	309
88	66	308
89	67	307
90	68	306
91	69	306
92	69	305
93	70	304
94	71	303
95	71	302
96	72	302
97	73	301
98	74	301
99	75	300
100	75	299
101	76	298
102	77	297
103	77	296
104	78	296
105	79	295
106	80	294
107	80	293
108	81	291
109	82	290
110	82	290
111	83	289
112	84	288
113	85	288
114	85	287
115	86	286
116	87	285
117	88	285
118	89	285
119	89	284
120	90	283
121	91	283
122	92	282
123	92	281
124	93	281
125	94	280
126	95	279
127	96	279
128	96	278
129	97	277
130	98	277
131	99	276
132	100	276
133	100	275
134	101	274
135	101	272
136	102	272
137	103	271
138	104	270
139	104	269
140	105	268
141	106	268
142	107	267
143	107	266
144	108	265
145	109	264
146	109	263
147	110	263
148	111	262
149	112	261
150	112	260
151	113	260
152	114	259
153	114	258
154	115	257
155	116	256
156	117	255
157	117	254
158	118	254
159	119	254
160	120	253
161	121	252
162	121	251
163	122	250
164	123	249
165	123	248
166	124	248
167	125	247
168	125	246
169	126	245
170	127	244
171	128	244
172	129	244
173	130	243
174	130	242
175	131	242
176	132	241
177	132	240
178	133	239
179	134	239
180	135	239
181	136	238
182	137	237
183	138	237
184	138	236
185	139	235
186	140	234
187	141	234
188	141	233
189	142	232
190	143	232
191	144	231
192	145	230
193	145	230
194	146	229
195	147	228
196	147	227
197	148	226
198	149	225
199	150	225
200	151	225
201	152	224
202	152	223
203	153	222
204	154	221
205	154	221
206	155	220
207	156	219
208	157	218
209	157	217
210	158	217
211	159	216
212	160	215
213	160	214
214	161	214
215	162	213
216	162	212
217	163	211
218	164	210
219	164	209
220	165	209
221	166	208
222	167	207
223	167	206
224	168	205
225	169	204
226	169	204
227	170	203
228	171	202
229	171	201
230	172	200
231	173	199
232	173	199
233	174	198
234	175	197
235	175	196
236	176	195
237	177	195
238	178	194
239	178	193
240	179	192
241	180	192
242	180	191
243	181	190
244	182	190
245	183	189
246	183	188
247	184	187
248	185	186
249	185	185
250	186	185
251	187	184
252	188	183
253	188	182
254	189	181
255	190	181
256	190	180
257	191	179
258	192	178
259	192	178
260	193	177
261	194	176
262	195	175
263	195	175
264	196	174
265	197	173
266	198	173
267	198	172
268	199	171
269	200	170
270	200	169
271	201	168
272	202	168
273	203	167
274	204	166
275	204	166
276	205	165
277	206	164
278	206	163
279	207	163
280	208	162
281	208	161
282	209	160
283	210	160
284	211	159
285	212	158
286	213	158
287	213	157
288	214	156
289	215	155
290	215	155
291	216	154
292	217	153
293	217	152
294	218	151
295	219	151
296	219	150
297	220	149
298	221	148
299	222	148
300	222	147
301	223	146
302	224	145
303	224	145
304	225	144
305	226	143
306	228	143
307	228	142
308	229	141
309	230	141
310	231	140
311	231	139
312	232	138
313	232	137
314	233	137
315	234	136
316	234	135
317	235	134
318	236	134
319	237	133
320	237	132
321	238	131
322	239	131
323	240	130
324	241	129
325	241	128
326	242	128
327	243	127
328	244	126
329	244	126
330	245	125
331	246	124
332	246	123
333	247	123
334	248	122
335	249	121
336	249	120
337	250	120
338	251	119
339	251	118
340	252	117
341	253	116
342	253	116
343	254	115
344	255	114
345	256	114
346	256	113
347	257	112
348	258	111
349	259	111
350	260	110
351	260	109
352	261	108
353	262	108
354	262	107
355	263	106
356	264	105
357	264	105
358	265	104
359	266	103
360	266	102
361	267	102
362	268	101
363	269	100
364	269	99
365	270	99
366	271	98
367	271	97
368	272	96
369	273	96
370	274	95
371	275	94
372	275	93
373	276	93
374	277	92
375	277	91
376	278	90
377	279	90
378	279	89
379	280	88
380	281	87
381	281	87
382	282	86
383	283	85
384	283	84
385	284	84
386	285	83
387	286	82
388	286	81
389	287	81
390	288	80
391	288	79
392	289	78
393	290	78
394	291	77
395	292	76
396	292	75
397	293	75
398	294	74
399	294	73
400	295	72
401	296	72
402	296	71
403	297	70
404	298	69
405	298	69
406	299	68
407	300	67
408	300	66
409	301	66
410	302	65
411	302	64
412	303	63
413	304	63
414	304	62
415	306	61
416	306	61
417	307	60
418	308	59
419	308	58
420	309	58
421	310	57
422	310	56
423	311	55
424	312	55
425	312	54
426	313	53
427	314	52
428	315	52
429	316	51
430	316	50
431	317	49
432	318	49
433	318	48
434	319	47
435	320	46
436	320	46
437	321	45
438	322	44
439	323	44
440	323	43
441	324	42
442	325	41
443	325	41
444	326	40
445	327	39
446	327	38
447	328	38
448	329	37
449	330	36
450	331	35
451	331	35
452	332	34
453	333	33
454	334	33
455	335	32
456	336	31
457	336	30
458	338	30
459	338	29
460	339	28
461	340	28
462	341	27
463	341	26
464	342	25
465	343	25
466	344	24
467	344	23
468	345	22
469	346	22
470	347	21
471	348	20
472	348	19
473	349	19
474	350	18
475	351	17
476	352	17
477	353	16
478	354	15
479	355	14
480	355	14
481	356	13
482	357	12
483	357	11
484	358	11
485	359	10
486	359	9
487	360	8
488	361	8
489	361	7
490	362	6
491	363	5
492	363	5
493	364	4
494	365	3
495	365	2
496	367	2
497	368	1
498	369	0
499	369	0
